TableS1.- Genes included in SureSelect capture library.		
A: Previously analyzed genes (Liu et al, Nature 2008; Pavri et al, Cell, 2008); B: Cancer related genes; C: Randomly picked genes		

Gene	Origin	Status
0610007P08Rik	A	Non-mutated
Ada	A	Mutated
Agxt2l2	A	Non-mutated
Aicda	A	Mutated
Alk	A	Non-mutated
Anxa2	A	Non-mutated
Atm	A	Non-mutated
B2m	A	Mutated
Bcar3	A	Non-mutated
Bcl11a	A	Mutated
Bcl2	A	Non-mutated
Bcl2l11	A	Non-mutated
Bcl6	A	Mutated
Birc5	A	Non-mutated
Prdm1	A	Non-mutated
Blk	A	Mutated
Blnk	A	Non-mutated
Smarca4	A	Non-mutated
Btg1	A	Mutated
Btg2	A	Mutated
Canx	A	Non-mutated
Card11	A	Non-mutated
Casp3	A	Non-mutated
Cbfb	A	Non-mutated
Ccnb2	A	Non-mutated
Ccnd1	A	Non-mutated
Ccnd2	A	Non-mutated
Ccnd3	A	Non-mutated
Cd19	A	Mutated
Cd22	A	Mutated
Cd37	A	Mutated
Cd40	A	Non-mutated
Cd40	A	Non-mutated
Cd53	A	Mutated
Cd79a	A	Mutated
Cd79b	A	Mutated
Cd82	A	Non-mutated
Cd83	A	Mutated
Cdc20	A	Non-mutated
Cdc37	A	Non-mutated
Cenpa	A	Non-mutated
Chd2	A	Mutated
Ciita	A	Mutated
Cks2	A	Non-mutated
Crip1	A	Non-mutated
Ctsh	A	Non-mutated
Cyth1	A	Mutated
Dad1	A	Non-mutated
Dock10	A	Non-mutated
Ebf1	A	Mutated
Ebf1	A	Mutated
Eif4a2	A	Mutated
Erh	A	Mutated
Ets1	A	Mutated
Ezh2	A	Non-mutated
Fas	A	Mutated
Fcgr2b	A	Non-mutated
Fchsd2	A	Mutated
Fen1	A	Mutated
Fgfr3	A	Non-mutated
Fh1	A	Non-mutated
Fli1	A	Mutated
Fnbp1	A	Mutated
Fosb	A	Non-mutated
Gadd45b	A	Mutated
Gas5	A	Mutated
Grap	A	Mutated
H2afx	A	Mutated
H3f3b	A	Mutated
Hdac1	A	Mutated
Hdgf	A	Mutated
Hivep3	A	Non-mutated
Hnrnpa2b1	A	Mutated
Hnrnpf	A	Mutated
Id3	A	Mutated
Igf1	A	Non-mutated
Igj	A	Mutated
Igsf8	A	Non-mutated
Ikzf1	A	Mutated
Il21r	A	Mutated
Il4ra	A	Mutated
Irf4	A	Mutated
Jak2	A	Non-mutated
Kpna2	A	Mutated
Kras	A	Non-mutated
Ksr1	A	Non-mutated
Lbr	A	Non-mutated
Lcp1	A	Non-mutated
Lmo2	A	Non-mutated
Lmo4	A	Non-mutated
Lrmp	A	Mutated
Ltb	A	Mutated
Lyl1	A	Non-mutated
Lyn	A	Mutated
Mafb	A	Non-mutated
Man1a	A	Mutated
Mbd4	A	Non-mutated
Mef2b	A	Mutated
Mef2c	A	Non-mutated
Mid1	A	Non-mutated
Mir142	A	Mutated
Kmt2a	A	Non-mutated
Ms4a1	A	Mutated
